ts	phase	decision	why	evidence	result
2026-08-02T06:10:00Z	calibration	Use high reasoning for the example and claim audit	The task joins executable examples, compatibility admission, generated Go, and release-facing documentation but has a bounded existing matrix and harness	Bead haxe_go-vfp.12.1; calibrate-reasoning-effort applied high	High lease ends when claim boundaries and the smallest missing gap are settled
2026-08-02T06:11:00Z	review-policy	Use main-agent claim review and executable gates instead of an automatic subagent review	The Bead is thinking:high, not xhigh, and the repository has deterministic compatibility and example contracts	show-me-your-work risk rules; AGENTS.md thinking policy	Independent review deferred unless the audit reveals an xhigh admission-policy change or weak oracle
2026-08-02T06:25:00Z	audit	Separate runnable example evidence from portable-beta release evidence	The existing manifest proves real execution and surface separation but carries no compatibility operation IDs, so green apps cannot prove admitted release scope	examples/qa-manifest.json; docs/compatibility-support-source.json; test/test_examples_qa_contract.py	Add one narrow release-bearing example and leave broader QA examples non-release-bearing
2026-08-02T06:28:00Z	tdd-red	Require schema v2 release lanes, admitted operation references, excluded-operation rejection, and friendly documentation	A release example must fail closed if it names an excluded operation rather than borrowing a broad green product surface	python3 test/test_examples_qa_contract.py	RED as intended: schema 1, missing portable_beta, missing release-claim docs
2026-08-02T06:42:00Z	tracer-red	Keep the real portable_beta runtime failure and add a focused JSON runtime regression	The vertical example exposed a stable lower owner: decoded JSON strings remain raw Go strings but typed Haxe Dynamic casts require the runtime string carrier	portable_beta runtime_ci panic at generated main.go:148; GO111MODULE=off go test -run TestJsonParseBoxesStringsForTypedDynamicCasts	RED as intended: decoded name had Go type string, expected *string
2026-08-02T07:05:00Z	focused-green	Box decoded JSON strings at the runtime boundary and prove both the lower owner and real compiler path	The independent Haxe interpreter contract expects a typed Dynamic-to-String cast to succeed, while encoding/json is the external decoder oracle	runtime/hxrt/json_test.go; snapshot stdlib/json_parse_stringify; semantic-diff json_parse_stringify_contract; portable_beta default and CI lanes	GREEN: focused Go test, runtime snapshot, Haxe differential contract, and compiler→gofmt→go test→go run tracer all passed
2026-08-02T07:12:00Z	debt-policy	Add only the new portable_beta generated-runtime reflection rows to the existing reviewed exception	The new committed example copies the already-approved selective hxrt reflection boundary; the ratchet correctly rejected the new file locations until explicitly inventoried	npm run test:compiler-debt initial failure; test/compiler_debt_policy.json diff	No global ceiling or rationale changed; 12 exact per-file import/module rows added for the portable lane
2026-08-02T07:45:00Z	claim-review	Reject release-bearing lanes whose parent example is not claim-bearing	Contradictory future metadata could otherwise publish a release claim after runtime success while ordinary claim ownership remains disabled	python3 test/test_examples_qa_contract.py	RED without the invariant, then GREEN after fail-closed validation; shipped metadata was already consistent
2026-08-02T08:00:00Z	validation	Accept the narrow example/runtime change after independent surface gates	A beta example must pass real compiler/runtime evidence without borrowing stdlib, semantic, package, or release-policy results from another surface	npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples; npm run test:changed; npm run test:examples:changed; runtime/hxrt go test; haxelib install; release contracts	GREEN: 313 snapshots, 155 semantic diffs, 55 strict upstream modules, 13 example lanes, 223 affected snapshots, runtime/package/policy gates all passed
2026-08-02T08:02:00Z	exact-claim-audit	Confirm only portable_beta default/ci publish completed release evidence and every declared operation is currently admitted	A broad green example or failed/compile-only lane must never widen the public beta surface	examples/qa-manifest.json; docs/compatibility-support-source.json; .cache/generated-output-telemetry/examples.json	Two completed portable release lanes, 16 admitted operation IDs each; every other lane published no release operations
2026-08-02T08:07:00Z	ci-diagnosis	Treat the Harness failure as metal selector contamination, not as invalid portable source	The failing audit scanned portable_beta despite its manifest declaring only the portable profile; every specialized Harness job and all three Quality lanes passed	run 30738119218 job 91470515052; full-scope audit report; run 30738119224	Opened haxe_go-vfp.12.13 and retained the zero-violation threshold
2026-08-02T08:10:00Z	selector-tdd	Make the metal full-tree audit select examples through manifest profile ownership	Portable and metal scorecards must remain independent, while all source under a metal-declared example must still be scanned	python3 test/test_metal_example_boundary.py	RED: portable-only StringMap was counted; GREEN: 5 contracts, hard boundary 2 files, full metal tree 44 files and zero violations
